age,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,heure_supplementaires,augementation_salaire_precedente,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,frequence_deplacement,annees_depuis_la_derniere_promotion,note_evaluation_variation,satisfaction_moyenne,evaluation_satisfaction,ratio_satisfaction_anciennete,risque_burnout,salaire_moyen_poste,salaire_moyen_poste_departement,ratio_salaire_moyen_poste_departement,non_satisfait_sous_paye,mobilite_interne,stagnation_ratio,genre_F,genre_M,statut_marital_Célibataire,statut_marital_Divorcé(e),statut_marital_Marié(e),departement_Commercial,departement_Consulting,departement_Ressources Humaines,poste_Assistant de Direction,poste_Cadre Commercial,poste_Consultant,poste_Directeur Technique,poste_Manager,poste_Représentant Commercial,poste_Ressources Humaines,poste_Senior Manager,poste_Tech Lead,domaine_etude_Autre,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale
41,5993,8,8,6,4,2,3,4,1,1,1,11,0,0,1,2,1,0,0,2.0,0,0.2857142857142857,1,6924.2791411042945,6924.2791411042945,0.8655052573522083,1,2,0.5714285714285714,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
49,5130,1,10,10,7,3,2,2,4,3,0,23,1,3,8,1,2,1,2,3.0,1,0.2727272727272727,0,3239.972602739726,3239.972602739726,1.583346722025385,0,3,0.6363636363636364,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37,2090,6,7,0,0,4,2,3,2,3,1,15,0,3,2,2,1,0,1,3.0,1,3.0,0,3237.169884169884,3237.169884169884,0.6456256776081878,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,2909,1,8,8,7,4,3,3,3,3,1,11,0,3,3,4,2,3,0,3.25,0,0.3611111111111111,0,3239.972602739726,3239.972602739726,0.8978470983180984,0,1,0.7777777777777778,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,3468,9,6,2,2,1,3,2,4,3,0,12,1,3,2,1,1,2,0,2.5,0,0.8333333333333334,0,3237.169884169884,3237.169884169884,1.0713061482991364,0,0,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,3068,0,8,7,7,4,3,4,3,2,0,13,0,2,2,2,2,3,0,3.25,0,0.40625,0,3237.169884169884,3237.169884169884,0.9477414253119234,0,0,0.875,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
59,2670,4,12,1,0,3,4,1,1,2,1,20,3,3,3,3,1,0,0,1.75,0,0.875,1,3237.169884169884,3237.169884169884,0.8247945259396465,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,2693,1,1,1,0,4,3,3,2,3,0,22,1,2,24,1,1,0,1,3.0,1,1.5,0,3237.169884169884,3237.169884169884,0.8318994975114113,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
38,9526,0,10,9,7,4,2,3,2,3,0,21,0,2,23,3,2,1,2,3.0,1,0.3,0,7295.137931034483,7295.137931034483,1.3058012185725967,0,2,0.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
36,5237,6,17,7,7,3,3,3,2,2,0,13,2,3,27,3,1,7,0,2.5,0,0.3125,0,7528.763358778626,7528.763358778626,0.6955989649872043,0,0,0.875,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
